sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
401-Natural-L,401,Natural,L,1,35,2017/01/01,2922
402-White-L,402,White,L,1,74,2017/01/01,2922
402-Black-L,402,Black,L,1,74,2016/01/01,2787
901-Black-M,901,Black,M,1,40.13,2017/01/01,3062
401-Black-M,401,Black,M,1,62,2015/01/01,2133
402-Black-S,402,Black,S,1,69,2015/01/01,2128
501-Black-XL,501,Black,XL,1,62,2015/01/01,2125
302-Black-L,302,Black,L,1,69,2015/01/01,2135
901-Black-L,901,Black,L,1,38,2015/01/01,2135
301-Black-L,301,Black,L,1,62,2015/01/01,2124
501-Black-L,501,Black,L,1,62,2015/01/01,2124
202-Black-S,202,Black,S,1,69,2015/01/01,2140
1041-Black-L,1041,Black,L,1,80,2015/01/01,2134
402-Black-XL,402,Black,XL,1,69,2015/01/01,2137
402-White-XL,402,White,XL,1,69,2015/01/01,2137
202-Black-S,202,Black,S,1,69,2015/01/01,2139
302-Black-S,302,Black,S,1,69,2015/01/01,2139
402-Black-S,402,Black,S,1,69,2015/01/01,2139
202-Natural-L,202,Natural,L,2,69,2015/01/01,2141
202-Black-L,202,Black,L,1,69,2015/01/01,2141
402-Black-L,402,Black,L,1,69,2015/01/01,2141
402-Ivory-L,402,Ivory,L,1,69,2015/01/01,2141
202-White-S,202,White,S,1,80,2018/01/01,3544
230-White-S,230,White,S,1,80,2018/01/01,3544
202-Natural-XS,202,Natural,XS,1,80,2018/01/01,3548
202-Black-XS,202,Black,XS,1,80,2018/01/01,3548
501-SlateGray-XS,501,SlateGray,XS,2,72,2018/01/01,3545
501-Ivory-XS,501,Ivory,XS,1,72,2018/01/01,3545
402-Black-S,402,Black,S,3,80,2018/01/01,3547
401-Black-L,401,Black,L,1,72,2018/01/01,3546
401-White-L,401,White,L,1,72,2018/01/01,3546
230-White-L,230,White,L,1,80,2018/01/01,3546
801-Black-L,801,Black,L,1,79,2018/01/01,3546
401-Black-M,401,Black,M,2,72,2018/01/01,3549
402-Black-M,402,Black,M,2,80,2018/01/01,3549
401-White-M,401,White,M,2,72,2018/01/01,3549
402-ChiliPepperRed-L,402,ChiliPepperRed,L,1,80,2019/01/01,3864
701-Black-S,701,Black,S,1,79,2019/01/01,3862
501-Navy-XS,501,Navy,XS,1,74,2019/01/01,3862
501-Ivory-XS,501,Ivory,XS,1,74,2019/01/01,3862
9001-White-L,9001,White,L,1,72,2016/01/01,2592
202-Black-XS,202,Black,XS,1,76.15,2016/01/01,2591
1001-Black-XL,1001,Black,XL,2,67,2016/01/01,2597
402-Black-S,402,Black,S,1,74,2016/01/01,2603
1001-Black-S,1001,Black,S,1,67,2016/01/01,2603
302-Black-S,302,Black,S,1,79.66,2016/01/01,2594
202-Navy-S,202,Navy,S,1,79.66,2016/01/01,2594
301-Black-M,301,Black,M,1,62,2012/01/01,901
301-White-M,301,White,M,1,62,2012/01/01,901
2000-Black-S,2000,Black,S,1,105,2016/01/01,2789
2000-Black-M,2000,Black,M,1,108.05,2016/01/01,2801
1040-Black-XS,1040,Black,XS,1,72,2015/01/01,2023
301-Black-XS,301,Black,XS,3,62,2015/01/01,2024
301-White-XS,301,White,XS,2,62,2015/01/01,2024
301-White-M,301,White,M,1,62,2015/01/01,2030
401-White-M,401,White,M,1,62,2015/01/01,2030
501-White-M,501,White,M,1,62,2015/01/01,2037
2001-Black-M,2001,Black,M,1,86,2015/01/01,2037
9001-Black-M,9001,Black,M,1,68.94,2016/01/01,2485
9001-Black-XL,9001,Black,XL,15,67,2016/01/01,2484
301-White-S,301,White,S,2,62,2016/01/01,2490
501-Black-L,501,Black,L,2,62,2016/01/01,2491
301-White-S,301,White,S,1,62,2016/01/01,2483
9001-Black-XL,9001,Black,XL,1,67,2016/01/01,2483
9001-White-XL,9001,White,XL,2,67,2016/01/01,2489
230-White-M,230,White,M,1,69,2016/01/01,2488
